geoid,geoid20,year,denom_total_hh,med_hh_inc_adj,med_hh_inc
1400000US06037137202,137202,2022,1435,74271.016,71346
1400000US06037137203,137203,2022,848,124279.5,119385
1400000US06037137301,137301,2022,801,189014.97,181571
1400000US06037137302,137302,2022,1614,174367.09,167500
1400000US06037137401,137401,2022,1722,149756.88,143859
1400000US06037137402,137402,2022,2214,151134.11,145182
1400000US06037137501,137501,2022,2137,117424.53,112800
1400000US06037137502,137502,2022,1923,134699.89,129395
1400000US06037137504,137504,2022,702,212103.27,203750
1400000US06037138000,138000,2022,1925,136047.98,130690
1400000US06037139001,139001,2022,2287,102981.73,98926
1400000US06037139200,139200,2022,2408,98114.023,94250
1400000US06037139301,139301,2022,1587,182875.17,175673
1400000US06037139302,139302,2022,2022,83403.688,80119
1400000US06037139303,139303,2022,2277,58504.066,56200
1400000US06037139401,139401,2022,1246,81530.93,78320
1400000US06037139402,139402,2022,1014,179572.09,172500
1400000US06037139502,139502,2022,1262,124614.7,119707
1400000US06037139504,139504,2022,1970,68315.469,65625
1400000US06037139505,139505,2022,1593,47712.043,45833
1400000US06037139506,139506,2022,1486,70306.898,67538
1400000US06037139600,139600,2022,2435,98315.977,94444
1400000US06037139701,139701,2022,2326,160183.5,153875
1400000US06037139703,139703,2022,964,184126.45,176875
1400000US06037139704,139704,2022,1037,137463.73,132050
1400000US06037139705,139705,2022,1318,260249.41,250000
1400000US06037139801,139801,2022,1276,211452.64,203125
1400000US06037139802,139802,2022,1434,230474.78,221398
1400000US06037141101,141101,2022,2579,88810.625,85313
1400000US06037141102,141102,2022,1498,114484.75,109976
1400000US06037141201,141201,2022,2268,82025.406,78795
1400000US06037141202,141202,2022,1535,107386.19,103157
1400000US06037141303,141303,2022,1776,93039.164,89375
1400000US06037141304,141304,2022,1653,108153.41,103894
1400000US06037141305,141305,2022,1478,99871.227,95938
1400000US06037141306,141306,2022,1648,101346.32,97355
1400000US06037141400,141400,2022,2115,109176.7,104877
1400000US06037141500,141500,2022,1143,217901.63,209320
1400000US06037141600,141600,2022,1947,184288.84,177031
1400000US06037141700,141700,2022,1382,260249.41,250000
1400000US06037143101,143101,2022,1165,100796.67,96827
1400000US06037143102,143102,2022,1222,108737.41,104455
1400000US06037143200,143200,2022,2278,87977.828,84513
1400000US06037143301,143301,2022,1652,91987.75,88365
1400000US06037143302,143302,2022,1661,104966.91,100833
1400000US06037143401,143401,2022,2367,138111.23,132672
1400000US06037143402,143402,2022,809,168104.45,161484
1400000US06037143500,143500,2022,2607,156728.44,150556
1400000US06037143602,143602,2022,2387,99368.43,95455
1400000US06037143603,143603,2022,1434,98622.031,94738
1400000US06037143605,143605,2022,1093,108545.86,104271
1400000US06037143606,143606,2022,1038,101589.91,97589
1400000US06037143700,143700,2022,2042,148568.06,142717
1400000US06037143801,143801,2022,1461,195590.95,187888
1400000US06037143802,143802,2022,1169,140457.64,134926
1400000US06037143901,143901,2022,1779,208987.56,200757
1400000US06037143902,143902,2022,1517,147336.56,141534
1400000US06037181000,181000,2022,2396,134692.59,129388
1400000US06037181300,181300,2022,1371,148116.27,142283
1400000US06037181400,181400,2022,1721,107105.12,102887
1400000US06037181500,181500,2022,1404,127497.23,122476
1400000US06037181600,181600,2022,1132,115362.31,110819
1400000US06037183101,183101,2022,1296,90508.492,86944
1400000US06037183103,183103,2022,1673,86300.781,82902
1400000US06037183104,183104,2022,802,115376.89,110833
1400000US06037183220,183220,2022,1155,112081.09,107667
1400000US06037183221,183221,2022,1160,92258.414,88625
1400000US06037183222,183222,2022,1555,105263.59,101118
1400000US06037183300,183300,2022,1156,90528.273,86963
1400000US06037183401,183401,2022,825,82881.109,79617
1400000US06037183402,183402,2022,1109,88050.703,84583
1400000US06037183510,183510,2022,801,106997.9,102784
1400000US06037183520,183520,2022,1248,68726.664,66020
1400000US06037183610,183610,2022,1068,78486.016,75395
1400000US06037183620,183620,2022,1071,93464.93,89784
1400000US06037183701,183701,2022,1367,76633.039,73615
1400000US06037183702,183702,2022,1152,112795.21,108353
1400000US06037183810,183810,2022,1575,86910.805,83488
1400000US06037183820,183820,2022,1292,74352.211,71424
1400000US06037185101,185101,2022,1015,85154.648,81801
1400000US06037185102,185102,2022,1496,169884.56,163194
1400000US06037185202,185202,2022,1582,122967.84,118125
1400000US06037185203,185203,2022,926,71308.336,68500
1400000US06037185204,185204,2022,751,120148.82,115417
1400000US06037185310,185310,2022,916,81762.031,78542
1400000US06037185320,185320,2022,957,58240.691,55947
1400000US06037186100,186100,2022,1922,118012.7,113365
1400000US06037186201,186201,2022,1346,80525.328,77354
1400000US06037186202,186202,2022,790,96059.094,92276
1400000US06037186203,186203,2022,1070,136457.09,131083
1400000US06037186301,186301,2022,883,82257.547,79018
1400000US06037186302,186302,2022,2014,93416,89737
1400000US06037186401,186401,2022,929,59461.785,57120
